spf_pass,dkim_pass,dmarc_pass,sender_domain_age,url_count,has_shortener_urls,has_ip_based_urls,suspicious_keyword_count,urgency_score,capitalization_ratio,special_char_ratio,html_tag_count,has_email_form,avg_word_length,unique_word_ratio,has_urgency_words,additional_feature,label
0,1,0,0,6,0,1,10,0.7586639105374248,0.27110835713250087,0.1469348076523102,19,0,4.509273715262622,0.4559321845668053,1,0.3370031764312863,1
0,1,1,2,4,1,1,14,0.803525630735504,0.39089978545576864,0.15009236372111684,39,1,5.179293174000281,0.5676139665531339,1,0.6311386259972629,1
0,0,1,0,6,1,1,10,0.6291052025456774,0.44655801778710685,0.24124844543129922,14,1,4.6996842172735835,0.4743916251680347,1,0.8631385219890039,1
1,1,1,6,0,0,0,1,0.03019124355706,0.03598111691339171,0.01419719897609939,8,0,5.479342601453528,0.657378125374376,0,0.613777418815699,0
0,1,1,9,0,0,0,2,0.21489701641880468,0.010812650399801005,0.0071256727765258605,16,0,5.91300279659896,0.8212525078377021,0,0.35325140850206416,0
0,1,1,7,1,0,0,0,0.035948700605293905,0.14612469429420233,0.002002635592582447,19,0,5.854001935848591,0.7619871390841679,0,0.8420332943764213,0
1,1,1,0,8,0,1,5,0.8928899545638245,0.4419683443584349,0.23175667334214348,25,1,4.749004026577558,0.4468274890929421,1,0.22120944181960223,1
1,1,1,5,1,0,0,0,0.06572064273055733,0.005508204375123171,0.010802575413069138,6,0,5.605171359159626,0.7716145930107903,0,0.5126677259564164,0
1,0,0,5,2,0,0,1,0.20057179401687422,0.10180049350088471,0.0361919990837865,10,0,5.197384804638195,0.750646082988596,0,0.138871326396517,0
0,0,0,0,5,0,0,8,0.9598589588580049,0.38226656668807185,0.14887063109293092,15,1,4.711680375207983,0.33053474178612113,1,0.15285913918433203,1
1,0,0,1,7,0,0,13,0.6737483682715852,0.22710108817328237,0.25419718510709566,38,1,4.8660812103121,0.4067018149394847,1,0.7190459051842455,1
1,1,1,9,1,0,0,0,0.046243512953546125,0.08305672280370167,0.05417048124100041,18,0,4.712371294235188,0.8480444921389257,0,0.7090137242870318,0
1,0,1,6,0,0,0,0,0.17796647103221527,0.13384537472094782,0.018533017952871444,15,0,4.479020339819076,0.8383734836100571,0,0.03467026672648332,0
0,0,1,1,3,0,0,14,0.63045234379612,0.4553620742146306,0.19902930540279484,41,1,6.71954115833374,0.4713956825758722,1,0.6621120101065646,1
1,1,0,8,1,0,0,2,0.09073424348681397,0.0737127266292835,0.05224441454054645,14,0,5.211510606278114,0.8756204131819132,0,0.36226808709859115,0
1,1,1,6,1,0,0,1,0.1152718860412144,0.06751850417728983,0.057926635382052685,8,0,4.8619704410265925,0.6956600454963416,0,0.5821987465941139,0
0,0,0,2,2,0,1,5,0.8365101742979717,0.3197008111610391,0.11095232776440628,18,0,6.363369666143477,0.4811164595190417,1,0.11426730005568775,1
1,1,1,6,0,0,0,2,0.16575408443481757,0.014122786518854685,0.03436631926091031,11,0,5.0774035959054284,0.7493437524102871,0,0.10547369995663058,0
0,0,1,1,2,1,1,12,0.6298777671031416,0.4557243977595943,0.2980296745501294,38,1,5.942720930205723,0.4783187577685636,1,0.3836122604056218,1
0,0,1,0,6,1,1,9,0.6303733641478488,0.22332960322368714,0.10046787812515566,39,0,4.309281238041235,0.39437896704282327,1,0.8074302518167612,1
1,1,0,6,1,0,0,2,0.12557418648718058,0.1185506603790222,0.05821482297799723,6,0,5.237896386015443,0.6970501184734421,0,0.8343033659547675,0
1,0,0,0,6,0,1,6,0.6097263865725815,0.39364168877215033,0.13542213588140978,37,1,4.838681025390276,0.5650482066798777,1,0.7477187738974139,1
1,0,1,7,2,0,0,0,0.2841107963216169,0.14510342666824128,0.018301544423472715,0,0,4.302493657469869,0.6675950789853705,0,0.250966661340298,0
0,1,0,1,6,0,1,4,0.9171824378422526,0.3965028016496326,0.2984266632681345,21,1,5.397438421060746,0.5507994191343628,1,0.23579209395920986,1
0,0,0,0,7,1,0,12,0.6560074154641796,0.27910514079038495,0.15329967867417643,36,1,5.80155058130096,0.49951100236387663,1,0.1753712786234496,1
0,0,0,2,9,0,1,4,0.7634936684392386,0.20761590669810348,0.13123051947323808,16,1,4.081287977510451,0.3665916485798848,1,0.2310747965880714,1
1,0,0,2,2,1,0,7,0.9638098043791273,0.4572080276277496,0.2929040944540417,28,0,6.951932943879484,0.4228002018945129,1,0.8940992036791344,1
