spf_pass,dkim_pass,dmarc_pass,sender_domain_age,url_count,has_shortener_urls,has_ip_based_urls,suspicious_keyword_count,urgency_score,capitalization_ratio,special_char_ratio,html_tag_count,has_email_form,avg_word_length,unique_word_ratio,has_urgency_words,additional_feature,label
0,1,1,0,6,0,0,13,0.7836995567863468,0.30011258334170654,0.12857336358438815,12,0,6.909729556485983,0.5497327922401265,1,0.21233911067827616,1
0,0,0,1,6,1,0,13,0.7599443886861021,0.21399969896408463,0.29475110376829183,24,1,6.355527884179041,0.3599021346475079,1,0.5142344384136116,1
0,0,1,0,2,0,1,14,0.8253152871382157,0.31562495076197483,0.10319325044404284,11,1,5.320457481218804,0.33661147045343365,1,0.4951769101112702,1
0,1,0,1,7,1,1,8,0.6125253169822235,0.45268543237849956,0.18995082667395313,19,1,5.7936999364332555,0.5765622705069351,1,0.0884925020519195,1
0,0,0,0,3,1,1,11,0.7123738038749523,0.3628088249474746,0.12818484499495253,24,0,4.046909220223582,0.4270204442119109,1,0.3948815181755697,1
0,0,0,2,4,1,0,9,0.8604308102007778,0.47448790266313423,0.2700077155579599,21,1,4.190675050858071,0.3932946965146986,1,0.32518332202674705,1
1,1,1,0,4,0,1,3,0.8886918084659492,0.2707954759246867,0.1512136645522648,36,1,5.282623055075649,0.30762573802322857,1,0.10789142699330445,1
0,1,0,1,6,0,1,13,0.6812244898939077,0.4828560711673943,0.2197730932977072,31,1,5.87306214440138,0.3886901057513142,1,0.10549425983027061,1
0,0,0,1,4,0,0,11,0.7272013899887455,0.23301557735830303,0.14558703250838834,22,1,4.020856391593572,0.4532241907732697,1,0.417411003148779,1
0,0,0,2,4,0,1,11,0.7615344684232164,0.21946767413269447,0.15078308278686894,21,0,5.491745517677156,0.3902634929450309,1,0.2848404943774676,1
0,1,0,1,8,0,1,5,0.8722821806219068,0.3592803749951409,0.18955663291461833,15,0,6.016406642217635,0.5284858845986152,1,0.23763754399239967,1
